inspection_id,property_id,buyer_id,date,feedback
1,1,2011,2023-01-03,Move-in ready
2,2164,288,2023-06-12,Move-in ready
3,1712,611,2024-10-12,Structural issues
4,830,256,2025-05-10,Structural issues
5,2660,1548,2023-12-18,Good condition
6,1441,231,2023-05-29,Minor issues
7,457,207,2022-10-12,Minor issues
8,1631,499,2023-04-30,Minor issues
9,2474,224,2023-02-13,Needs renovation
10,1776,1883,2022-09-04,Good condition
11,1359,2361,2024-09-12,Good condition
12,1103,486,2024-10-19,Good condition
13,1885,2691,2023-08-30,Structural issues
14,2621,2790,2023-10-28,Minor issues
15,1815,2494,2024-03-05,Minor issues
16,2764,831,2023-11-08,Good condition
17,2435,2357,2023-05-05,Excellent
18,1690,1816,2025-03-04,Good condition
19,2326,2548,2023-07-22,Minor issues
20,2758,200,2024-10-17,Structural issues
21,1890,1111,2023-11-07,Structural issues
22,1722,284,2022-09-23,Needs renovation
23,613,2479,2023-11-24,Structural issues
24,897,76,2025-05-19,Structural issues
25,2743,2008,2025-04-04,Structural issues
26,2118,1274,2022-11-17,Move-in ready
27,1922,1853,2024-03-09,Structural issues
28,2209,2083,2023-03-02,Structural issues
29,628,1049,2023-12-06,Needs renovation
30,1865,1427,2022-11-26,Structural issues
31,1652,2176,2025-02-23,Move-in ready
32,1605,2204,2025-01-11,Move-in ready
33,1765,725,2023-07-12,Minor issues
34,1039,2058,2022-11-30,Needs renovation
35,2851,960,2025-03-12,Good condition
36,147,2335,2024-11-18,Move-in ready
37,1804,266,2024-03-17,Excellent
38,1055,2000,2024-06-24,Excellent
39,2419,1454,2023-01-29,Good condition
40,474,797,2023-06-06,Needs renovation
41,1576,1853,2022-08-12,Needs renovation
42,2978,2695,2023-07-28,Good condition
43,269,1342,2025-06-10,Minor issues
44,1828,2998,2022-09-06,Structural issues
45,271,1135,2023-06-28,Good condition
46,2195,653,2024-05-29,Structural issues
47,748,1204,2025-03-07,Minor issues
48,1264,2495,2024-09-12,Move-in ready
49,488,2625,2023-05-29,Needs renovation
50,1841,327,2023-07-29,Minor issues
51,1336,230,2023-03-23,Structural issues
52,1141,2745,2024-05-13,Move-in ready
53,687,2720,2023-01-24,Needs renovation
54,2707,434,2023-04-01,Excellent
55,2335,1673,2024-03-02,Move-in ready
56,966,1922,2025-03-12,Structural issues
57,352,913,2023-10-17,Good condition
58,2678,2504,2024-06-24,Good condition
59,1494,436,2025-03-29,Structural issues
60,2979,306,2024-12-08,Move-in ready
61,989,1562,2024-03-19,Structural issues
62,96,108,2023-10-19,Excellent
63,1803,2434,2024-04-19,Good condition
64,1245,1771,2025-04-30,Move-in ready
65,1251,1153,2022-10-21,Structural issues
66,1073,246,2023-12-15,Excellent
67,2795,2238,2023-01-03,Good condition
68,1346,403,2023-05-26,Structural issues
69,913,2525,2024-04-28,Excellent
70,638,2026,2024-07-29,Structural issues
71,2313,382,2022-08-21,Move-in ready
72,2564,298,2024-01-03,Structural issues
73,2809,658,2023-03-13,Minor issues
74,2191,2444,2022-10-11,Good condition
75,87,2555,2023-10-19,Structural issues
76,1745,2778,2024-02-26,Good condition
77,2624,1732,2022-08-13,Structural issues
78,298,1194,2022-10-10,Excellent
79,331,1757,2023-11-26,Move-in ready
80,1748,2960,2024-04-21,Minor issues
81,394,422,2024-07-22,Minor issues
82,1912,2806,2024-08-30,Needs renovation
83,2496,1140,2024-12-02,Needs renovation
84,9,1677,2022-10-15,Minor issues
85,206,2282,2023-04-29,Good condition
86,1403,2126,2023-08-24,Move-in ready
87,1412,2271,2025-01-11,Needs renovation
88,1148,2779,2024-06-01,Good condition
89,1045,2553,2024-09-20,Move-in ready
90,1965,1985,2025-03-15,Move-in ready
91,2803,2415,2025-04-17,Move-in ready
92,1321,2875,2023-03-28,Minor issues
93,724,1167,2024-09-22,Good condition
