neighborhood_id,name,school_rating,air_quality_index,crime_float
1,Wallaceside Village,4,101.6,7.58
2,North Ruthland Village,10,79.8,7.05
3,Anthonychester Village,4,50.2,2.29
4,Amyton Bay,9,42.1,3.7
5,Danaland Heights,9,114.9,8.92
6,New Kelly Park,7,75.6,1.42
7,West Morgan Village,7,98.6,3.87
8,Caldwellshire Gardens,7,34.9,4.39
9,South Brandy Ridge,9,67.4,8.64
10,Caseyport Village,3,100.6,9.23
11,Rojasport Estates,7,116.8,6.02
12,Rebeccafort Park,7,44.3,2.83
13,East Theresa Bay,2,112.2,8.62
14,East Alyssa Heights,9,92.5,2.71
15,New Grace Village,7,87.4,6.43
16,North Priscilla Ridge,2,38.8,7.86
17,Angelabury Bay,9,41.7,2.88
18,Stevenview Village,5,115.7,1.14
19,Wellsstad Park,2,94.7,7.79
20,Colemanbury Park,10,90.4,4.57
21,North Eileenburgh Park,9,52.2,3.55
22,South Tristan Gardens,9,84.9,3.78
23,Port Kevinbury Village,9,108.3,5.19
24,Lake Jenniferbury Ridge,8,96.2,3.88
25,West Jessica Park,6,51.3,1.41
26,South Shannonview Ridge,4,94.1,1.15
27,West Michaelborough Estates,10,77.9,4.76
28,Jacobstown Park,4,53.0,4.42
29,Port Nathan Ridge,4,69.9,6.89
30,Brooksbury Bay,6,45.7,8.39
31,Jamesbury Bay,8,66.1,7.59
32,Port Jenniferview Village,3,34.0,5.92
33,Danielview Park,9,119.0,9.62
34,West Reneehaven Estates,1,103.9,1.67
35,Port Cynthia Ridge,1,96.4,4.71
36,Port Sarahmouth Ridge,4,26.8,2.36
37,Lake Karenton Park,9,65.6,1.54
38,Timothymouth Bay,10,111.3,6.93
39,Snyderville Heights,1,73.2,4.7
40,New Darlene Heights,9,92.2,5.82
41,South Sherri Village,1,70.2,7.28
42,South Jason Gardens,3,30.7,1.87
43,Johnside Park,4,39.2,5.74
44,Duncanstad Ridge,6,46.7,4.57
45,New Timothy Village,7,65.9,3.19
46,Rodriguezstad Bay,4,50.0,8.45
47,West Kyle Heights,1,29.4,4.41
48,Ninastad Estates,8,25.6,1.09
49,Ashleyshire Park,2,70.0,4.91
50,Leonardville Ridge,6,76.6,8.72
51,Calebland Heights,9,111.9,3.07
52,South Alexander Ridge,10,67.6,1.42
53,North Betty Heights,5,109.9,6.07
54,Debrabury Heights,3,112.9,3.83
55,Valerieview Park,10,34.4,8.39
56,Meganville Ridge,7,112.9,3.69
57,East Jamesport Estates,4,76.7,8.64
58,Wrightmouth Bay,9,53.2,7.8
59,South Lauren Park,2,70.1,9.77
60,East Calebberg Heights,2,63.7,8.55
61,East Jodiport Village,10,96.9,9.59
62,Acostaland Gardens,6,23.0,3.46
63,West Karen Gardens,8,42.8,5.98
64,Harrisonland Gardens,7,38.6,6.27
65,North Catherineberg Gardens,2,97.2,3.66
66,West Alexandraburgh Park,2,28.2,2.39
67,North Edward Bay,3,94.0,3.85
68,Lake Christinaton Heights,2,20.5,3.77
69,Meyersmouth Village,5,30.2,1.79
70,Lake Brandon Gardens,8,75.7,5.61
71,North Ronaldshire Heights,1,29.0,5.99
72,North Richard Estates,10,98.4,8.77
73,Port Gabriel Heights,5,61.4,8.01
74,Port Shannonton Bay,9,110.5,9.8
75,Robertstad Estates,9,37.0,4.43
