property_id,address,price,bedrooms,bathrooms,area_sqft,agent_id
1,"728 William Skyway, Jayland Ridge, Garciashire",408304.49,6,5,3969.8,1277
2,"7281 Woodard Forest Apt. 403, Port Janice Bay, Andrewfort",401575.22,1,2,4789.63,985
3,"26190 Woodard Hills, South Alexland Gardens, North Michaelshire",884634.12,2,1,4481.35,580
4,"087 James Mount Suite 199, Katelynberg Bay, Lake Stephen",958540.4,3,5,1339.42,1048
5,"1492 Jay Forges Apt. 204, East Alyssa Heights, Thomasville",966931.99,4,1,3627.06,517
6,"0364 Bolton Trafficway, Sabrinastad Ridge, Newtonberg",82106.96,4,1,908.75,1411
7,"28068 Holly View Suite 976, West John Gardens, Whiteville",1696359.15,2,5,527.54,775
8,"99532 Rhonda Field Suite 642, West Jonathantown Park, North Michelle",908382.24,2,1,3411.66,2491
9,"09078 Moore Bridge Apt. 722, Port Matthew Park, Lake Ericbury",1473069.73,2,1,2086.57,2149
10,"67770 Brooke Stravenue, Lake Laurabury Estates, East Kelly",1588498.58,5,5,4594.37,2961
11,"4584 Dixon Ridges, Petersonview Ridge, North Jodiport",88209.77,3,5,925.09,436
12,"081 David Heights, East Robin Bay, East Paula",1563780.91,5,4,1451.46,1522
13,"8500 Pacheco Groves, Port Garychester Gardens, East Christopherstad",718046.23,5,1,3786.49,1282
14,"3965 Owen Course, Martinezport Gardens, Lake Stephanie",1172432.1,4,4,1253.66,2830
15,"8102 Brian Lakes Apt. 056, Derekborough Heights, Lake Erin",260857.04,5,5,700.06,207
16,"0711 Richard Knolls, New Andrew Village, West Angela",1520791.92,3,2,2654.38,2865
17,"88817 Smith Extension Suite 982, New Yolandamouth Estates, Jacobmouth",1239437.86,2,1,2963.7,1538
18,"1461 Jasmine Junction Apt. 008, Katherinefurt Ridge, Allenstad",1248620.46,2,5,4588.77,1965
19,"7621 Samantha Club, Ginashire Village, Taylorshire",1806492.2,5,3,1992.64,1274
20,"935 Mccormick Viaduct, Josephstad Heights, Joshualand",1743166.67,6,1,4979.43,566
21,"8608 Mitchell Falls, Harrisport Heights, North Adam",402793.01,4,2,505.49,728
22,"6910 Mcconnell Extension, East Jesseshire Village, Jamieberg",1138303.69,5,3,2914.95,2562
23,"01703 Leah Heights, Wendytown Heights, Port Theodoremouth",1859112.77,2,2,3481.18,637
24,"28650 Ryan Mall, Chadmouth Gardens, Claytonhaven",193586.41,1,3,1754.35,1142
25,"65518 Taylor Courts, North Rachel Park, East Kim",1337280.67,6,2,4660.5,2150
26,"684 Ryan Heights, South Kevinfort Ridge, Hartmantown",1515723.49,1,4,4882.72,1475
27,"100 Raymond Canyon Apt. 818, Ryanmouth Ridge, New Benjaminbury",1188366.71,6,2,3654.95,2758
28,"213 Dorothy Knolls, Fraziermouth Gardens, Leberg",322943.35,6,1,1074.11,2598
29,"774 Ayala Junctions Suite 476, Madisonhaven Park, Scottport",479086.68,1,3,4716.97,2851
30,"04765 Patricia Pike Apt. 716, Lake Laura Village, East Brittany",366593.98,2,2,3726.23,2040
31,"09662 Mcdowell Trail Suite 593, Smithport Village, Jessicaview",769616.49,2,1,1596.65,2941
32,"17625 Smith Mews, Reynoldston Ridge, Williamsmouth",452409.53,2,5,920.92,1375
33,"090 Sandra Canyon Suite 385, Chadmouth Gardens, Lake Brandyport",1781764.89,4,3,2281.43,12
34,"202 Bryant Oval Suite 194, Port Alexismouth Village, Kristinberg",1389789.31,1,3,3718.61,2437
35,"46019 Katie Plains, Port Robertshire Heights, Blackwelltown",523153.51,4,4,2568.19,1630
36,"592 Jennifer Walk, West Matthewfurt Ridge, West Christine",1813939.26,1,5,2917.71,541
37,"80665 Campos Canyon Apt. 478, South Jamie Estates, East John",1554377.87,6,1,3432.93,2451
38,"668 Daniel Court Apt. 410, South Garretttown Bay, Port Rachael",252144.98,6,1,2613.54,1549
39,"93570 Rachel Village, Lisabury Estates, Lake Maryberg",1741163.12,1,2,3119.18,2175
40,"10009 Miller Drives Apt. 204, Lake Richard Gardens, Dominguezview",498885.95,1,3,1615.74,2217
41,"53521 Belinda Brooks Apt. 723, North Stephanie Bay, Lake Bridgetside",1656661.69,1,5,2241.95,665
42,"0887 Hall Station, East Sarah Heights, Port Aaron",369604.67,1,2,4724.99,1720
43,"522 Perez Village, North Laura Heights, Port Monica",1014747.93,5,1,2151.02,2283
44,"725 Jasmin Harbor Suite 401, Staceyville Bay, Port Kaylafurt",1778812.35,4,4,2572.27,167
45,"807 White Mountains Suite 945, Port Elizabeth Gardens, Carlafurt",815676.25,6,4,4684.38,345
46,"04515 James Ports Suite 399, Anthonyport Park, Sierrastad",1175029.65,4,3,2127.52,1242
47,"9974 Jennifer Points, Lake Jeffrey Estates, Paulaville",1195929.96,3,3,3452.12,1807
48,"0087 Curtis Roads Apt. 698, Port Marie Estates, Janiceside",1933399.65,4,2,3581.86,2477
49,"8468 Sandra Loop, New Marilynburgh Gardens, Joseshire",1558803.66,6,2,3053.99,1409
50,"311 Wood Lake Apt. 120, Port Patricia Park, Bowersshire",96389.39,6,5,2196.18,1859
51,"80676 Joseph Parkway, North Josephton Village, Martinberg",444363.66,2,4,1106.1,482
52,"027 Joseph Point, New Jenniferborough Bay, Robertchester",249842.53,2,3,1473.99,1684
53,"4038 Robles Viaduct Apt. 621, South Nicholeville Village, Port Patricia",1357692.02,6,3,4733.77,2273
54,"321 Christensen Expressway Suite 730, Brownton Village, East Karen",1415218.57,3,2,956.35,2109
55,"72435 Smith Manor Apt. 465, Pattyfort Estates, Lake Joseph",1712288.69,6,1,2902.1,2020
56,"60595 Brewer Pines, Port Gabrielleport Estates, Amberside",1902355.6,5,5,941.39,2551
57,"567 Green Mill Apt. 655, West John Park, Huynhshire",1866185.9,2,2,3759.6,2914
58,"8729 Rebecca Curve, Port Jamesshire Ridge, Stevenfurt",242499.95,5,5,3572.14,1080
59,"6023 Lisa Lock Apt. 099, Marcusborough Ridge, Shanechester",503558.03,5,3,4122.49,549
