transaction_id,buyer_id,property_id,amount,date
1,1112,2336,809971.57,2023-07-05
2,148,1906,1968998.4,2025-05-20
3,2242,1815,1325721.95,2024-02-09
4,713,1329,155946.56,2022-08-15
5,1348,143,1214594.46,2023-01-29
6,2893,1529,1115697.64,2023-03-19
7,1274,490,861197.77,2024-06-13
8,1371,495,176500.19,2025-03-24
9,2484,198,831884.14,2024-05-19
10,2351,840,1227765.86,2024-09-29
11,1876,1515,151427.39,2022-09-10
12,1834,1909,774412.38,2023-11-25
13,10,1814,680328.81,2022-11-26
14,2373,1553,783959.35,2023-07-16
15,2693,122,1965732.41,2023-02-18
16,2793,1647,88784.81,2024-12-07
17,380,2747,1386871.03,2023-04-18
18,1736,2405,958831.31,2024-11-14
19,1129,462,302833.74,2022-10-16
20,866,1496,1469660.78,2022-07-03
21,412,704,971941.98,2024-01-21
22,2220,1076,274744.2,2023-09-10
23,2280,840,1227765.86,2023-06-09
24,1556,2462,1677839.5,2023-10-22
25,1283,1475,1521332.13,2024-11-04
26,2409,1493,322880.35,2024-04-17
27,2205,656,1770491.75,2022-07-24
28,1985,1897,123252.59,2022-07-20
29,253,2840,637879.43,2023-03-07
30,1677,2389,1592933.64,2024-02-18
31,2537,539,1541815.99,2024-09-11
32,559,1704,351208.81,2023-10-29
33,2454,2689,1553312.7,2024-03-13
34,453,1535,1891304.59,2023-10-14
35,1592,2308,180468.32,2023-06-27
36,2756,2751,1110765.19,2024-12-20
37,1032,2450,109905.0,2023-02-01
38,118,1782,1314563.73,2024-01-27
39,86,2146,1152614.23,2023-10-06
40,2642,730,92596.24,2022-10-08
41,2038,1740,1037151.29,2024-04-21
42,510,80,1911021.33,2024-10-03
43,45,696,1939927.05,2024-06-08
44,2915,923,112030.74,2025-05-06
45,1451,316,1723785.59,2023-09-10
46,2696,564,1938840.28,2024-03-24
47,112,2556,934241.28,2023-04-28
48,1061,1497,96755.97,2022-06-18
49,2402,2902,1186691.12,2022-07-30
50,1572,2391,1756846.46,2025-03-07
51,450,1370,1140251.25,2025-04-03
52,1923,842,1417041.12,2024-04-09
53,2884,1069,280615.41,2024-08-11
54,2462,1071,613369.0,2024-12-08
55,798,2304,166058.97,2023-01-06
56,1418,2601,960513.45,2023-08-08
57,2706,1734,1156406.93,2023-03-13
58,821,838,110997.81,2022-11-30
59,1953,1469,579541.21,2024-07-26
60,2323,2097,786587.69,2023-06-07
61,2847,2954,1639182.27,2022-10-12
62,1101,2426,406824.71,2024-06-12
63,2838,349,1360174.0,2025-01-28
64,995,3000,1028887.61,2024-10-16
65,2215,1940,1781490.0,2023-07-28
66,2895,2166,1929298.59,2025-04-21
67,2040,12,1563780.91,2022-08-10
68,463,2299,526291.43,2023-02-27
69,2113,363,1357309.09,2023-03-05
70,2580,2713,1939300.28,2023-02-14
71,2821,2888,1707391.22,2024-04-10
72,2789,359,986439.85,2024-12-03
73,492,2953,193789.15,2024-07-20
74,945,958,557842.61,2024-12-25
75,1939,2499,1163504.07,2023-03-19
76,1335,2739,1325504.31,2024-09-17
77,655,854,970209.07,2023-12-21
78,828,385,669932.12,2025-04-28
79,1090,964,1556375.25,2024-06-07
80,682,1129,776142.44,2023-05-07
81,334,2579,1711334.18,2025-04-29
82,1812,52,249842.53,2025-01-31
83,2741,1906,1968998.4,2023-12-23
84,403,593,1597005.27,2023-12-05
85,2006,2062,507497.81,2023-05-20
86,1988,2465,1357396.21,2022-09-15
87,1705,983,1920473.56,2022-09-17
88,1007,2089,748034.45,2023-11-26
89,1988,2525,300277.81,2025-03-02
90,2646,168,124262.89,2025-01-06
91,2100,2969,1232919.95,2022-11-27
92,281,787,1544989.81,2023-02-18
93,2766,706,1785290.73,2022-06-15
94,708,207,479191.57,2023-08-25
95,2079,581,168326.72,2024-04-14
96,742,222,566986.67,2023-04-21
97,1251,1155,1028696.01,2023-09-24
98,2127,1204,594050.76,2022-10-20
99,2699,2934,1364682.31,2023-06-22
100,980,1303,479372.34,2025-03-14
101,460,2473,1246497.34,2024-06-19
102,2011,2110,428431.51,2024-12-22
103,2302,402,929970.72,2025-02-20
104,1702,1047,1214700.11,2022-10-12
105,2401,1447,1130421.38,2024-01-01
106,1949,457,1844568.54,2023-07-22
107,141,1192,1350857.93,2024-08-20
108,579,2739,1325504.31,2022-06-29
109,1396,2549,1941190.16,2024-10-31
110,2422,70,834612.73,2023-03-21
111,61,2881,251505.84,2023-04-26
112,2589,764,1026001.87,2023-11-19
113,2094,1207,1319418.43,2024-04-28
114,673,546,1372647.91,2023-10-06
115,1127,400,1737875.83,2023-08-18
116,2043,180,1588284.02,2023-08-19
117,2894,510,861559.64,2024-12-17
118,2209,2677,102695.64,2024-05-26
119,915,2568,93502.34,2024-09-30
120,392,978,1156884.25,2023-12-09
121,2026,2017,1591599.88,2025-04-22
122,2769,1130,1065891.78,2022-10-13
123,859,1055,875201.54,2025-03-30
124,144,919,651182.42,2024-06-05
125,243,1399,792808.93,2023-05-25
126,2735,1938,308340.57,2023-05-05
127,2351,699,799610.05,2024-07-18
128,1361,2897,1391298.9,2024-03-08
129,2618,373,1941342.38,2023-05-30
130,2040,915,569229.34,2023-09-10
131,914,1008,1157234.82,2022-08-06
132,1424,2133,1568920.85,2023-03-08
