             name              | listing_cnt | avg_price  
-------------------------------+-------------+------------
 Reyesview Park                |           1 | 1999656.74
 West Laurenbury Park          |           1 | 1998064.55
 Huntland Gardens              |           1 | 1994415.30
 Lake Evelynside Estates       |           1 | 1993363.94
 North Erikaport Village       |           1 | 1993008.85
 West Alan Village             |           1 | 1992382.46
 South Kimburgh Park           |           1 | 1987804.45
 Rogersfort Bay                |           1 | 1986373.35
 Port Edward Estates           |           1 | 1983670.48
 West Lisa Ridge               |           2 | 1976006.98
 South Williamfurt Park        |           1 | 1962644.93
 Myersview Estates             |           1 | 1957903.83
 Cruzchester Estates           |           1 | 1956466.95
 Careychester Park             |           1 | 1955352.08
 Port Daniel Park              |           1 | 1951917.85
 Port Eric Village             |           2 | 1945342.51
 East Laura Gardens            |           1 | 1943835.83
 Hendersonmouth Bay            |           1 | 1941275.10
 Wrightmouth Heights           |           1 | 1941190.16
 South Laura Village           |           1 | 1940838.01
 Port Debbie Heights           |           1 | 1939927.05
 New Jessicabury Bay           |           1 | 1939300.28
 North Douglas Bay             |           1 | 1938885.58
 Port Kevin Ridge              |           1 | 1938840.28
 Timothyside Gardens           |           1 | 1936744.33
 Port Christon Park            |           1 | 1935921.45
 South Rebeccaland Village     |           1 | 1934888.87
 North Bradley Bay             |           1 | 1933506.50
 New James Bay                 |           1 | 1931556.38
 Perryton Ridge                |           1 | 1928713.24
 Lake Christineberg Park       |           1 | 1928677.28
 Kevinberg Bay                 |           1 | 1927568.25
 Lake Johnathanstad Bay        |           1 | 1927493.31
 Jenniferbury Heights          |           1 | 1925179.70
 Thompsonstad Bay              |           1 | 1920473.56
 New Jennifer Gardens          |           1 | 1919173.22
 South Brandy Ridge            |           1 | 1917426.74
 Danielland Heights            |           1 | 1916648.96
 South Tristan Gardens         |           1 | 1916313.11
 North Ryanville Park          |           1 | 1914285.17
 West Lisa Village             |           1 | 1912838.65
 Lake Joeburgh Park            |           1 | 1911255.38
 Leachbury Gardens             |           1 | 1911021.33
 Port Stephaniemouth Gardens   |           1 | 1906965.89
 West Rebecca Gardens          |           2 | 1906134.63
 Port Gabrielleport Estates    |           1 | 1902355.60
 East Troy Estates             |           1 | 1898536.29
 Kiddtown Heights              |           1 | 1896059.39
 East Omarfort Gardens         |           1 | 1891870.96
 South Peter Village           |           2 | 1891088.70
 South Thomas Gardens          |           1 | 1889429.60
 Allenfort Park                |           1 | 1889416.09
 West Jameston Park            |           1 | 1886337.47
 Port Christopher Estates      |           1 | 1883033.78
 East Scott Park               |           1 | 1881613.59
