             name              | avg_price | price_rank 
-------------------------------+-----------+------------
 Reyesview Park                |   1999657 |          1
 West Laurenbury Park          |   1998065 |          2
 Huntland Gardens              |   1994415 |          3
 Lake Evelynside Estates       |   1993364 |          4
 North Erikaport Village       |   1993009 |          5
 West Alan Village             |   1992382 |          6
 South Kimburgh Park           |   1987804 |          7
 Rogersfort Bay                |   1986373 |          8
 Port Edward Estates           |   1983670 |          9
 West Lisa Ridge               |   1976007 |         10
 South Williamfurt Park        |   1962645 |         11
 Myersview Estates             |   1957904 |         12
 Cruzchester Estates           |   1956467 |         13
 Careychester Park             |   1955352 |         14
 Port Daniel Park              |   1951918 |         15
 Port Eric Village             |   1945343 |         16
 East Laura Gardens            |   1943836 |         17
 Hendersonmouth Bay            |   1941275 |         18
 Wrightmouth Heights           |   1941190 |         19
 South Laura Village           |   1940838 |         20
 Port Debbie Heights           |   1939927 |         21
 New Jessicabury Bay           |   1939300 |         22
 North Douglas Bay             |   1938886 |         23
 Port Kevin Ridge              |   1938840 |         24
 Timothyside Gardens           |   1936744 |         25
 Port Christon Park            |   1935921 |         26
 South Rebeccaland Village     |   1934889 |         27
 North Bradley Bay             |   1933507 |         28
 New James Bay                 |   1931556 |         29
 Perryton Ridge                |   1928713 |         30
 Lake Christineberg Park       |   1928677 |         31
 Kevinberg Bay                 |   1927568 |         32
 Lake Johnathanstad Bay        |   1927493 |         33
 Jenniferbury Heights          |   1925180 |         34
 Thompsonstad Bay              |   1920474 |         35
 New Jennifer Gardens          |   1919173 |         36
 South Brandy Ridge            |   1917427 |         37
 Danielland Heights            |   1916649 |         38
 South Tristan Gardens         |   1916313 |         39
 North Ryanville Park          |   1914285 |         40
 West Lisa Village             |   1912839 |         41
 Lake Joeburgh Park            |   1911255 |         42
 Leachbury Gardens             |   1911021 |         43
 Port Stephaniemouth Gardens   |   1906966 |         44
 West Rebecca Gardens          |   1906135 |         45
 Port Gabrielleport Estates    |   1902356 |         46
 East Troy Estates             |   1898536 |         47
 Kiddtown Heights              |   1896059 |         48
 East Omarfort Gardens         |   1891871 |         49
 South Peter Village           |   1891089 |         50
 South Thomas Gardens          |   1889430 |         51
 Allenfort Park                |   1889416 |         52
 West Jameston Park            |   1886337 |         53
 Port Christopher Estates      |   1883034 |         54
 East Scott Park               |   1881614 |         55
 Diaztown Gardens              |   1881475 |         56
 West Cynthiachester Heights   |   1878624 |         57
 New Ashleyland Park           |   1878160 |         58
 Alvaradoberg Ridge            |   1877593 |         59
