 property_id |                                     address                                     |   price    
-------------+---------------------------------------------------------------------------------+------------
        1485 | 0650 James Route, Lake Kimberly Park, Serranoview                               |  337192.39
           2 | 7281 Woodard Forest Apt. 403, Port Janice Bay, Andrewfort                       |  401575.22
           5 | 1492 Jay Forges Apt. 204, East Alyssa Heights, Thomasville                      |  966931.99
           8 | 99532 Rhonda Field Suite 642, West Jonathantown Park, North Michelle            |  908382.24
          10 | 67770 Brooke Stravenue, Lake Laurabury Estates, East Kelly                      | 1588498.58
          13 | 8500 Pacheco Groves, Port Garychester Gardens, East Christopherstad             |  718046.23
          15 | 8102 Brian Lakes Apt. 056, Derekborough Heights, Lake Erin                      |  260857.04
          24 | 28650 Ryan Mall, Chadmouth Gardens, Claytonhaven                                |  193586.41
          25 | 65518 Taylor Courts, North Rachel Park, East Kim                                | 1337280.67
          26 | 684 Ryan Heights, South Kevinfort Ridge, Hartmantown                            | 1515723.49
          29 | 774 Ayala Junctions Suite 476, Madisonhaven Park, Scottport                     |  479086.68
          32 | 17625 Smith Mews, Reynoldston Ridge, Williamsmouth                              |  452409.53
          40 | 10009 Miller Drives Apt. 204, Lake Richard Gardens, Dominguezview               |  498885.95
          46 | 04515 James Ports Suite 399, Anthonyport Park, Sierrastad                       | 1175029.65
          50 | 311 Wood Lake Apt. 120, Port Patricia Park, Bowersshire                         |   96389.39
          58 | 8729 Rebecca Curve, Port Jamesshire Ridge, Stevenfurt                           |  242499.95
          59 | 6023 Lisa Lock Apt. 099, Marcusborough Ridge, Shanechester                      |  503558.03
          62 | 2610 Brandon Turnpike, Jamesbury Heights, Port Sharon                           |  511832.67
          63 | 1664 Ryan Haven Apt. 385, West Christophershire Estates, Nicolehaven            | 1633120.28
          67 | 6254 Sharon Light Suite 644, West Matthew Bay, Ruizberg                         |  715184.33
          72 | 6866 Jacobs Junction Suite 596, East Christopher Gardens, Meltonborough         |  322828.47
          75 | 09778 Walker Parks, South Michaelton Village, Jameschester                      |  435900.37
          76 | 05094 Rodriguez Cliffs, Meyersbury Gardens, West Judychester                    | 1185375.83
          77 | 882 Doyle Forks Suite 939, Gregoryhaven Gardens, Christianside                  |  296656.01
          78 | 2936 James Roads Suite 443, West Dustinmouth Heights, Perrymouth                |  342481.02
          79 | 42350 Kimberly Underpass, Mccormickberg Park, West Billyfort                    |  428657.89
          84 | 023 William Junction, North Richardmouth Estates, Lake Taraberg                 |  513930.51
          88 | 944 Freeman Valley, Douglashaven Ridge, South Keith                             |   481501.3
          91 | 9471 John Point, Lake John Heights, Jennifermouth                               |  452471.47
          97 | 995 Romero Islands, Campbellside Park, Travisshire                              |  127206.29
         101 | 761 Forbes Plains, East Josephchester Village, South Julieport                  | 1240093.41
         104 | 52062 Garcia Estates, North Michaelburgh Estates, Woodshaven                    |  313516.41
         105 | 51776 Deborah Freeway Apt. 297, South Pamelamouth Heights, South Alex           |  376015.42
         109 | 383 Mary Point Suite 496, Cainton Ridge, Port Kelli                             |  404433.84
         110 | 23989 Melinda Well Suite 923, Blankenshipton Bay, North Sarah                   |  444999.89
         114 | 93669 Allen Hills, Melissamouth Park, Millerchester                             | 1138355.99
         116 | 789 Garcia Street, Blaketon Bay, Danielfurt                                     |  811775.33
         117 | 67671 Phelps Mews, West Aaronton Ridge, New Jessica                             |  841137.39
         121 | 93534 David Heights Apt. 592, Bellhaven Park, Carpenterchester                  |  929823.15
         124 | 952 Wendy Shoal Apt. 700, East Reginaldside Park, East Emilyport                |  567212.11
         130 | 5268 Aaron Forest Apt. 008, Mccoyside Gardens, Kellytown                        |  208004.67
         131 | 8604 Ramsey Port, Port Justinberg Heights, Kristenside                          |  841893.91
         132 | 65603 Emily Pike, Knightburgh Village, Chelseymouth                             |   92120.79
         135 | 1184 Lynn Park, Ericksonville Bay, Carlafort                                    |  850481.86
         137 | 95098 Lisa Mills Suite 975, West Karenbury Village, Lake Stevenfurt             |  201454.49
         141 | 5017 Wiggins Turnpike, Lake Russell Bay, New Steven                             |  737064.15
         149 | 0531 Harrison Pike, Matthewburgh Heights, West Megantown                        | 1322751.26
         151 | 3492 Sarah Plaza, Ashleyshire Park, Kevinland                                   |  524142.47
