 property_id | neighborhood_id |   price    
-------------+-----------------+------------
        1227 |               1 | 1747623.13
         686 |               9 | 1917426.74
        1045 |              10 |  517670.13
        2434 |              11 | 1282894.85
         203 |              12 | 1874333.74
        1805 |              13 | 1429026.95
        1759 |              14 |  1953016.8
        1835 |              16 | 1728630.56
        1163 |              17 | 1322318.13
        2746 |              18 |  233417.36
        2796 |              20 | 1247653.64
        1721 |              21 | 1356859.11
        2393 |              22 | 1916313.11
         530 |              24 |  330808.63
         847 |              26 |  891367.89
        1822 |              27 |  754981.78
         621 |              28 |  1777483.7
        1024 |              30 | 1511048.01
        2885 |              32 | 1855806.76
        1974 |              34 |  359873.13
         267 |              38 | 1122054.94
        1018 |              39 | 1387318.89
        2162 |              41 |  951287.92
         709 |              42 | 1737008.96
        2744 |              44 |  745696.35
        1722 |              45 |  272247.08
         155 |              46 | 1886152.87
         674 |              47 | 1795525.66
        2274 |              49 | 1951121.41
        2900 |              50 | 1753481.78
        2104 |              52 | 1851937.43
        1046 |              53 |  487842.21
        1108 |              54 | 1481964.35
        1130 |              56 | 1065891.78
         595 |              57 |  108885.89
         943 |              58 |  1414418.8
        2415 |              59 |  647019.58
         142 |              60 |  255342.05
        1105 |              61 | 1210358.56
        1490 |              63 |  349999.55
         567 |              68 | 1303373.08
        2091 |              70 | 1179734.92
         304 |              71 | 1553228.23
        2774 |              72 | 1326538.92
        1397 |              73 |  903969.56
        2317 |              76 |  767249.25
        1733 |              77 | 1833583.49
        2219 |              80 |  1906727.4
         248 |              82 | 1612040.48
        1780 |              83 |  1444212.5
         216 |              84 |  1604363.3
         470 |              85 |  120844.13
         108 |              86 |  756317.87
        1234 |              87 | 1466252.26
        2926 |              88 | 1789004.01
         233 |              89 | 1348263.39
        2791 |              90 | 1568116.51
        2068 |              93 | 1315422.09
        1232 |              95 | 1247083.43
        2113 |              98 |  279077.56
        2249 |             100 |  1184670.3
        1311 |             101 | 1987473.64
         107 |             102 | 1585458.62
        2897 |             103 |  1391298.9
        2578 |             105 |  535446.89
         688 |             106 | 1496703.95
        1408 |             107 | 1552241.33
        2108 |             108 | 1624818.02
        2607 |             111 |  298008.58
        2741 |             113 |  482637.29
         687 |             116 | 1906965.89
        2205 |             118 | 1112356.61
          42 |             119 |  369604.67
        1854 |             120 | 1192430.21
        2001 |             122 | 1774793.54
         936 |             124 |  1837475.7
        1231 |             125 | 1395793.47
        1056 |             126 | 1913487.92
        2901 |             130 |  886347.06
        1929 |             131 | 1669018.51
        1145 |             133 |  357270.49
        1535 |             134 | 1891304.59
        2019 |             136 |  1933506.5
        2425 |             137 | 1537068.14
        2000 |             138 |  670640.93
        1480 |             140 |  641998.23
        2216 |             142 | 1212976.13
        2963 |             145 | 1526692.64
        2663 |             147 |  1541061.4
        2807 |             148 | 1023537.98
        1139 |             149 |  853481.83
         603 |             152 | 1367514.78
          87 |             155 | 1134046.97
        1367 |             158 | 1370846.37
        2017 |             159 | 1591599.88
        1310 |             161 | 1655666.07
        2836 |             162 |  528328.79
        2403 |             165 |  460030.44
         906 |             166 | 1906526.45
        2348 |             167 |  895974.22
        2624 |             169 |  1788400.6
        2142 |             173 |  822855.06
        1327 |             174 |  1675123.9
        1584 |             175 | 1718927.18
        2064 |             177 | 1473774.05
         360 |             178 | 1520230.84
        2380 |             179 |  1560942.3
        2566 |             180 | 1387056.74
        1588 |             181 | 1436052.07
        1668 |             182 | 1138612.47
        2750 |             183 | 1850897.54
         863 |             187 |   525440.5
         580 |             188 |  510825.65
           7 |             189 | 1696359.15
        2401 |             190 | 1601379.01
        1608 |             194 | 1979860.16
        1711 |             195 |  796467.41
         961 |             196 |  305080.96
         558 |             198 |  937237.18
        2475 |             199 |   605916.9
         513 |             201 | 1829829.42
         475 |             202 | 1486012.34
         364 |             206 | 1651520.39
         572 |             208 |  744227.01
        1422 |             212 | 1213453.35
        2572 |             214 | 1831741.45
         746 |             215 | 1205037.17
        1706 |             216 | 1219911.56
        1978 |             217 | 1637891.93
          69 |             219 | 1936744.33
        2367 |             221 | 1267445.74
         223 |             222 |  315883.01
        2310 |             226 | 1219964.03
        1040 |             228 |  802039.16
        2293 |             229 |  1637935.6
        2726 |             230 | 1407211.17
        1766 |             232 | 1200106.76
        1969 |             235 | 1912838.65
        2931 |             240 |  411126.82
        2350 |             241 |  557972.09
        2263 |             243 | 1815686.87
        2828 |             244 | 1438878.92
        2069 |             246 | 1259958.19
         428 |             249 | 1179888.61
        2054 |             251 |  374099.33
        1842 |             252 |   419062.5
        1770 |             255 |  389561.45
         711 |             256 | 1919173.22
         587 |             258 |   404627.7
        1844 |             259 | 1189026.05
        2748 |             261 | 1836550.78
         869 |             263 |  277675.81
        2681 |             265 |  988872.35
        1953 |             266 |  775890.96
        1317 |             267 | 1484252.69
        1652 |             270 |  773462.05
        2722 |             272 |  965166.42
        2655 |             273 |  341755.24
         838 |             276 |  110997.81
        1185 |             277 |  1198936.3
        2078 |             278 | 1861694.81
        2999 |             280 | 1553433.23
        2080 |             281 | 1571253.73
        2867 |             282 |  902461.86
        2865 |             283 |  486220.05
         724 |             284 | 1526791.72
         204 |             286 |  649516.94
        2185 |             290 |  371265.31
        1361 |             295 |  774320.57
          94 |             298 |   701914.5
         138 |             301 |  774141.68
         856 |             304 |  137997.49
         575 |             305 |  243685.85
         824 |             306 | 1699023.38
        1696 |             307 |  642184.82
        1125 |             308 | 1951917.85
        1473 |             309 |  884108.76
        2863 |             310 | 1833601.68
        2111 |             311 |  984081.06
        2694 |             315 | 1615882.03
        2277 |             316 | 1023377.23
         849 |             322 |  438692.52
        1874 |             323 | 1730146.71
          18 |             324 | 1248620.46
        2688 |             325 | 1713511.86
        2989 |             326 |  359301.62
        2291 |             328 |  319886.61
        2751 |             329 | 1110765.19
        2470 |             330 | 1658138.99
         736 |             331 | 1711619.62
         636 |             332 |  140437.42
         160 |             333 | 1696956.62
        1951 |             334 |  646768.68
        2853 |             336 | 1834874.95
        1931 |             337 | 1583534.82
         570 |             338 | 1426341.44
         412 |             341 | 1570839.66
        2479 |             342 |  415625.36
        2732 |             343 | 1434081.91
        2087 |             345 | 1450658.56
        2218 |             346 |  1814848.6
        2908 |             347 | 1739540.11
         482 |             348 |  1332555.9
        1345 |             350 |  659197.68
         751 |             351 |  311293.81
        2284 |             352 | 1737045.61
        2626 |             353 |  1378946.4
         199 |             354 | 1691999.14
         327 |             355 | 1672511.34
          56 |             357 |  1902355.6
        1996 |             358 | 1482130.46
         598 |             359 | 1474031.75
        1168 |             361 | 1211801.03
        2186 |             362 |  728678.44
        2139 |             363 | 1336335.35
        2407 |             365 |  589807.31
        2098 |             368 |  862436.92
         147 |             369 | 1886337.47
        1779 |             370 |  216378.73
        2645 |             371 | 1022853.62
         939 |             372 | 1348114.21
        1976 |             375 | 1625718.02
        1094 |             376 |  177334.96
        1141 |             377 | 1852780.04
         971 |             378 | 1241410.69
        2568 |             379 |   93502.34
        2203 |             380 | 1166717.67
         444 |             381 |     849811
        1673 |             383 |   260032.6
        1797 |             384 | 1228609.54
         344 |             385 | 1684532.99
         102 |             386 | 1556939.61
        1682 |             387 | 1211178.46
        2856 |             388 | 1083996.71
        2728 |             389 | 1799960.24
        2347 |             390 | 1747322.84
        2501 |             391 |  495817.17
         846 |             392 | 1413381.08
        2441 |             394 | 1639174.61
        1181 |             395 | 1784506.73
         913 |             399 | 1147477.55
        2437 |             400 | 1545629.64
         900 |             401 |  756374.09
        2974 |             402 | 1635033.14
        2962 |             403 | 1254632.27
        1873 |             404 | 1073219.46
        2573 |             405 |  1516483.1
        1995 |             406 | 1057164.29
         207 |             407 |  479191.57
        2014 |             408 | 1489406.77
        1949 |             409 | 1957903.83
        1569 |             410 | 1676968.45
        1350 |             411 | 1131905.62
        1903 |             412 | 1466914.85
        2404 |             413 |  601791.24
        2850 |             415 | 1529682.81
        2436 |             416 |  531887.43
         608 |             417 | 1206438.05
        1021 |             420 |  198729.68
        2895 |             421 | 1688445.63
        1915 |             422 | 1060595.28
         812 |             424 | 1540842.55
         471 |             425 | 1594565.47
        1253 |             426 | 1658178.83
        1144 |             427 | 1872443.24
        1796 |             428 | 1637308.34
        2084 |             430 | 1365326.66
        1004 |             431 | 1874133.93
        2550 |             434 | 1620495.98
        1036 |             437 |  444135.15
        2910 |             439 | 1203345.16
        2154 |             440 | 1668907.68
        1190 |             442 | 1911255.38
        2322 |             443 |  959746.75
         960 |             444 | 1208637.84
         265 |             445 |  692301.02
        2246 |             448 | 1177197.98
        1417 |             449 |  168493.06
         369 |             450 |  576550.01
        1383 |             451 | 1753447.08
         175 |             452 |   873968.9
         865 |             453 | 1382325.51
         897 |             455 |  571217.01
        2143 |             456 | 1461090.82
        1901 |             457 | 1457844.18
        1628 |             459 |  741688.74
        2522 |             460 |  374798.21
        2345 |             461 |  579607.63
        2531 |             463 |  830650.33
        1610 |             464 |  970495.14
        2155 |             465 |  863846.97
        2672 |             467 |  796140.98
        1918 |             468 |    1439686
         547 |             471 |  165880.49
        1504 |             472 | 1453558.79
         653 |             477 | 1136095.05
        2066 |             480 |   743886.5
        2410 |             483 | 1646375.07
        2639 |             484 |  702368.91
        1544 |             486 | 1668378.23
        1672 |             489 | 1955454.35
        1100 |             492 |  569150.14
         671 |             493 | 1693830.32
         442 |             494 | 1032683.55
         813 |             495 | 1563604.87
        1875 |             496 |   753524.4
        2370 |             498 | 1063010.53
        1085 |             499 |  473656.72
        2845 |             500 |  951261.33
        1407 |             501 | 1809831.93
        1654 |             504 |  178182.32
        2335 |             505 |  721417.06
         967 |             506 |    1117731
        2312 |             509 | 1887450.18
          83 |             512 |  949385.95
        1214 |             513 |  1184264.9
        2810 |             515 | 1482850.13
        2841 |             516 |  475412.97
         878 |             520 | 1524350.56
        2985 |             521 |  1285440.5
        1312 |             523 | 1829202.94
        1294 |             525 |  835129.05
         299 |             526 |  1877592.7
         280 |             527 | 1445559.29
        1512 |             528 | 1307190.48
        2491 |             529 |  110357.87
        1923 |             530 |  685847.82
        2225 |             531 |  453820.38
        2723 |             534 | 1064424.41
         773 |             535 |  665875.64
         414 |             536 | 1157196.81
         818 |             538 |  414811.67
         639 |             539 | 1236732.46
        1916 |             541 |   80115.06
         988 |             542 |  556538.58
         739 |             543 | 1525104.48
        1412 |             544 | 1161151.22
         889 |             545 | 1492706.62
        1913 |             547 | 1592106.42
        2012 |             548 | 1030801.39
         514 |             549 |  1482416.7
        2030 |             550 |  619067.55
        2332 |             551 |  862653.01
        1359 |             552 |   648787.9
        2675 |             553 | 1856295.47
           3 |             558 |  884634.12
        2533 |             559 |  712059.83
        1940 |             560 |    1781490
        1236 |             561 | 1104214.57
        1680 |             562 | 1775302.75
        2447 |             563 |  127035.42
         826 |             564 | 1142629.17
        1454 |             565 |  950827.28
        1585 |             566 | 1966202.66
         916 |             568 | 1798808.58
         879 |             569 | 1054673.32
         477 |             570 | 1241682.28
        1277 |             571 | 1674324.78
         182 |             572 | 1680864.12
         706 |             573 | 1785290.73
         316 |             574 | 1723785.59
        2941 |             578 |  364932.89
         355 |             579 |  1829428.1
         301 |             580 |  169113.45
        1877 |             581 | 1234077.78
         557 |             582 |  701968.52
        1037 |             586 | 1589377.24
        1523 |             587 |  764551.18
         352 |             588 | 1593541.36
         372 |             590 |  1106004.9
        2465 |             592 | 1357396.21
         535 |             594 | 1182241.78
        2222 |             595 | 1626686.28
        2079 |             596 | 1591836.48
        1762 |             597 |  617906.33
         622 |             598 | 1957317.04
        2905 |             599 | 1963465.46
         417 |             600 | 1510769.43
         797 |             602 | 1590081.36
        2285 |             603 |  1504167.4
        2586 |             604 | 1070191.41
         561 |             605 |  344860.51
         457 |             607 | 1844568.54
        2269 |             608 |  1422083.3
         143 |             612 | 1214594.46
         651 |             614 | 1727651.17
         293 |             616 | 1880308.94
         341 |             617 | 1570699.01
        2031 |             618 | 1232388.59
        2649 |             619 | 1414163.57
         411 |             620 | 1816836.04
         997 |             621 | 1206351.99
