   month    |    total_sales     |     prev_month     | pct_change 
------------+--------------------+--------------------+------------
 2022-06-01 |  34695287.25000001 |                    |           
 2022-07-01 |  82406316.69000003 |  34695287.25000001 |     137.51
 2022-08-01 |  72269373.14999999 |  82406316.69000003 |     -12.30
 2022-09-01 |  66698839.94000001 |  72269373.14999999 |      -7.71
 2022-10-01 |  91813612.57000001 |  66698839.94000001 |      37.65
 2022-11-01 |  72055089.20000002 |  91813612.57000001 |     -21.52
 2022-12-01 |        82184566.49 |  72055089.20000002 |      14.06
 2023-01-01 |        95254117.07 |        82184566.49 |      15.90
 2023-02-01 |  71137173.18999997 |        95254117.07 |     -25.32
 2023-03-01 |       108752611.23 |  71137173.18999997 |      52.88
 2023-04-01 |  79086237.83999999 |       108752611.23 |     -27.28
 2023-05-01 |  87209597.58999996 |  79086237.83999999 |      10.27
 2023-06-01 |  75792746.87999998 |  87209597.58999996 |     -13.09
 2023-07-01 | 100892065.19999996 |  75792746.87999998 |      33.12
 2023-08-01 |  92759466.98000003 | 100892065.19999996 |      -8.06
 2023-09-01 |        95917793.72 |  92759466.98000003 |       3.40
 2023-10-01 |        79918247.58 |        95917793.72 |     -16.68
 2023-11-01 |  82470641.40000002 |        79918247.58 |       3.19
 2023-12-01 |        96545345.18 |  82470641.40000002 |      17.07
 2024-01-01 |  91752876.65000002 |        96545345.18 |      -4.96
 2024-02-01 |  83727486.72000004 |  91752876.65000002 |      -8.75
 2024-03-01 | 102347080.70000002 |  83727486.72000004 |      22.24
 2024-04-01 |  85716028.59000006 | 102347080.70000002 |     -16.25
 2024-05-01 |        74110734.25 |  85716028.59000006 |     -13.54
 2024-06-01 |  98613075.49000002 |        74110734.25 |      33.06
 2024-07-01 |  88864170.06000003 |  98613075.49000002 |      -9.89
 2024-08-01 |        82336929.03 |  88864170.06000003 |      -7.35
 2024-09-01 |        69528215.08 |        82336929.03 |     -15.56
 2024-10-01 |  93961738.92999999 |        69528215.08 |      35.14
 2024-11-01 |  86837398.09000002 |  93961738.92999999 |      -7.58
 2024-12-01 |  92244597.21000002 |  86837398.09000002 |       6.23
 2025-01-01 |  83529225.91000006 |  92244597.21000002 |      -9.45
 2025-02-01 |  73732606.32999997 |  83529225.91000006 |     -11.73
 2025-03-01 |  86665225.32000001 |  73732606.32999997 |      17.54
 2025-04-01 |  92286737.82000002 |  86665225.32000001 |       6.49
 2025-05-01 |  69587144.03999999 |  92286737.82000002 |     -24.60
 2025-06-01 | 27601966.370000005 |  69587144.03999999 |     -60.33
(37 rows)

